City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
225,Tual,ID,80.31,broken clouds,-5.6667,132.75,Grand Vilia Hotel
229,Marsa Matruh,EG,84.36,clear sky,31.3525,27.2453,Beau Site
231,Dicabisagan,PH,79.63,overcast clouds,17.0818,122.4157,Nancy Montanes Bernardo
235,Stavern,NO,83.32,clear sky,59.0,10.0333,Hotel Wassilioff
238,Panorama,GR,88.29,few clouds,40.5878,23.0315,Panorama Hotel
239,Menongue,AO,87.85,clear sky,-14.6585,17.691,Ritz Lauca
241,Hasaki,JP,81.28,scattered clouds,35.7333,140.8333,Inubosaki Kanko Hotel
245,Faanui,PF,77.45,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
246,Biak,ID,76.64,scattered clouds,-0.9131,122.8766,Penginapan Kim
248,Pekin,CN,78.69,clear sky,39.9075,116.3972,Capital Hotel
249,Khuzdar,PK,86.56,scattered clouds,27.7384,66.6434,jhalwan Rent A Car Compny Moola Chotok
251,Katsuura,JP,80.42,scattered clouds,35.1333,140.3,Katsuura Hotel Mikazuki
252,Mancio Lima,BR,75.54,scattered clouds,-7.6142,-72.8958,Motel Asas Do Desejo
255,Bria,CF,79.34,light rain,6.5423,21.9863,WFP Guesthouse
257,Abeche,TD,88.21,light rain,13.8292,20.8324,Assaleh Hamdan Haroune
258,Panzhihua,CN,78.35,overcast clouds,26.5851,101.7128,Electric Power Hotel
260,Matamoros,MX,78.91,few clouds,25.5333,-103.25,Quinta Belem
264,Wenling,CN,80.94,scattered clouds,28.3669,121.36,Hanting Express Wenling Wanchang North Road
265,Balabac,PH,82.18,few clouds,7.9868,117.0645,Batalla’s Lodging House
266,Kintampo,GH,84.78,overcast clouds,8.0563,-1.7306,Adomaa Memorial Hotel
267,Eyl,SO,81.36,overcast clouds,7.9803,49.8164,Amiin Hotel
269,Carballo,ES,76.42,clear sky,43.213,-8.691,Pazo do Souto
272,Kruszwica,PL,82.15,clear sky,52.6756,18.3313,Ośrodek Szkolenia Żeglarskiego: Pole Namiotowe
273,Hamilton,US,77.2,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
276,Richards Bay,ZA,78.71,clear sky,-28.783,32.0377,BON Hotel Waterfront Richards Bay
278,Mutoko,ZW,75.7,clear sky,-17.397,32.2268,Mutoko Hotel
281,Camopi,GF,88.11,broken clouds,3.1655,-52.3158,La pousada
282,Lorengau,PG,80.55,scattered clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
